"","Compartment","Phylum","otu","mean","sd","se"
"46","bulk","p__TA06","OTU_5749",1.15006588517666e-05,4.12152856737196e-05,4.85726799807132e-06
"47","bulk","p__Tenericutes","OTU_1200",9.48816241758999e-05,0.000142762567235954,1.68247298986906e-05
"48","bulk","p__Thaumarchaeota","OTU_3",0.0666192620843881,0.020781401300337,0.00244911163033787
"49","bulk","p__Thermotogae","OTU_5375",5.01419388285994e-06,1.47702585457252e-05,1.7406916629268e-06
"50","bulk","p__TM6","OTU_1615",0.000783335767788713,0.000382277938881674,4.50518871468747e-05
"51","bulk","p__Verrucomicrobia","OTU_2",0.146043682669719,0.0379995775667387,0.00447829316327753
"52","bulk","p__WCHB1-60","OTU_2475",0.000203648105246627,0.000244864506898115,2.88575588832596e-05
"53","bulk","p__WD272","OTU_5519",1.11167427797397e-05,3.1315166773694e-05,3.69052779661111e-06
"54","bulk","p__Woesearchaeota (DHVEG-6)","OTU_5595",0.00025352815983002,0.000194336699674566,2.29027996955499e-05
"55","rhizosphere","p__Acidobacteria","OTU_17",0.161808132435258,0.0225082380676351,0.00267123640969299
"56","rhizosphere","p__Actinobacteria","OTU_34",0.107112626216034,0.0135234164795533,0.00160493426340503
"57","rhizosphere","p__Aenigmarchaeota","OTU_18078",3.91856746578013e-07,3.30184363629595e-06,3.91856746578013e-07
"58","rhizosphere","p__Aerophobetes","OTU_5288",2.43506882408725e-05,3.4965071982746e-05,4.14959061065507e-06
"59","rhizosphere","p__Aminicenantes","OTU_7261",6.55513856696699e-06,1.80606578852633e-05,2.14340575131447e-06
"60","rhizosphere","p__Armatimonadetes","OTU_359",0.00414872289136525,0.00114753160930346,0.000136186946611902
"61","rhizosphere","p__Bacteroidetes","OTU_4",0.108751613220995,0.0242135465982755,0.00287361929826555
"62","rhizosphere","p__Candidate division OP3","OTU_3338",0.000477956529659807,0.00039282043176643,4.66192083384189e-05
"63","rhizosphere","p__Candidate division SR1","OTU_9059",8.54740545558649e-06,2.07837824970676e-05,2.46658118554103e-06
"64","rhizosphere","p__Candidate division WS6","OTU_6584",2.41599233193152e-06,1.48547983408204e-05,1.76294022070541e-06
"65","rhizosphere","p__Chlamydiae","OTU_1136",0.00155474278840041,0.000618355777237861,7.33853294664098e-05
"66","rhizosphere","p__Chlorobi","OTU_470",0.00146082062638651,0.000427260120116658,5.07064473832152e-05
"67","rhizosphere","p__Chloroflexi","OTU_75",0.035351242038276,0.00447642753128809,0.000531254208836669
